BGC0000185	Polyketide
BGC0000038	Polyketide
BGC0000321	NRP
BGC0001106	NRP;Polyketide
BGC0000861	Other
BGC0000694	Saccharide
BGC0001065	Polyketide
BGC0000079	Polyketide
BGC0001033	NRP;Polyketide
BGC0001472	RiPP
BGC0001949	Other
BGC0001032	NRP;Polyketide
BGC0001961	NRP
BGC0000217	Polyketide
BGC0000484	RiPP
BGC0001038	NRP;Polyketide
BGC0000609	RiPP
BGC0000405	NRP
BGC0001436	Polyketide
BGC0001959	Other
BGC0001236	Polyketide
BGC0000348	NRP
BGC0001986	Other
BGC0000231	Polyketide
BGC0000286	Polyketide
BGC0001187	NRP;Polyketide
BGC0000847	Other
BGC0001912	NRP
BGC0001157	RiPP
BGC0001956	Polyketide
BGC0000498	RiPP
BGC0001700	Polyketide
BGC0002022	Polyketide
BGC0000598	RiPP
BGC0000132	Polyketide
BGC0001928	Other
BGC0000970	NRP;Polyketide
BGC0001306	RiPP
BGC0000652	Terpene
BGC0000011	Polyketide
BGC0001615	NRP
BGC0001222	RiPP
BGC0000930	Other
BGC0001578	Polyketide
BGC0000996	NRP;Polyketide
BGC0000084	Polyketide
BGC0001810	Polyketide
BGC0001743	RiPP
BGC0001762	Alkaloid
BGC0000090	Polyketide
BGC0000068	Polyketide
BGC0000589	RiPP
BGC0000374	NRP
BGC0001918	NRP;Polyketide
BGC0000006	Polyketide
BGC0001438	Polyketide;Saccharide
BGC0000610	RiPP
BGC0000869	Other
BGC0000503	RiPP
BGC0001046	NRP;Polyketide;Saccharide
BGC0000820	Alkaloid
BGC0000001	Polyketide
BGC0000229	Polyketide;Saccharide
BGC0000627	RiPP
BGC0000414	NRP
BGC0001844	NRP
BGC0001583	Polyketide
BGC0001118	Polyketide
BGC0001333	Alkaloid
BGC0000032	Polyketide
BGC0001516	NRP
BGC0000578	RiPP
BGC0001614	NRP
BGC0001963	NRP;Polyketide
BGC0001719	Polyketide
BGC0000843	Other
BGC0000010	Polyketide
BGC0000450	NRP
BGC0000977	NRP;Polyketide
BGC0000099	Polyketide
BGC0001492	Polyketide
BGC0001500	Polyketide
BGC0000489	RiPP
BGC0000761	Saccharide
BGC0000665	Terpene;Alkaloid
BGC0001669	RiPP
BGC0001412	Saccharide
BGC0000424	NRP
BGC0000138	Polyketide
BGC0002019	Terpene
BGC0000297	NRP;Polyketide;Saccharide
BGC0000474	RiPP
BGC0001827	Polyketide
BGC0001863	RiPP;Terpene
BGC0001890	NRP
BGC0001626	Polyketide
BGC0000992	NRP;Polyketide
BGC0001868	Other
BGC0000695	Saccharide
BGC0000097	Polyketide
BGC0000569	RiPP
BGC0001520	Polyketide
BGC0001323	Terpene
